,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Margate,GB,51.3813,1.3862,15.73,82,13,2.14,few clouds
178,Soyo,AO,-6.1349,12.3689,19.56,93,10,1.97,clear sky
179,Hailar,CN,49.2,119.7,17.22,45,4,9.37,clear sky
180,Kutulik,RU,53.3508,102.7839,14.54,70,0,2.46,clear sky
181,Bayji,IQ,34.9311,43.487,32.61,22,1,4.55,clear sky
182,Tasiilaq,GL,65.6145,-37.6368,6.09,97,100,0.42,light rain
183,Ouesso,CG,1.6136,16.0517,21.46,92,95,0.34,overcast clouds
184,Vorontsovka,RU,50.6132,40.3549,19.86,43,46,1.73,scattered clouds
185,Rio Grande,BR,-32.035,-52.0986,12.75,83,100,6.31,overcast clouds
186,Gizo,SB,-8.103,156.8419,27.94,73,91,0.62,moderate rain
187,Penzance,GB,50.1186,-5.5371,15.38,80,0,5.5,clear sky
188,Northam,GB,51.0333,-4.2167,11.25,79,0,1.93,clear sky
189,Bajil,YE,15.0584,43.2851,30.5,67,99,1.44,overcast clouds
190,Qaqortoq,GL,60.7167,-46.0333,6.47,84,1,1.3,clear sky
191,Yar-Sale,RU,66.8333,70.8333,19.89,67,0,4.02,clear sky
192,Vila Franca Do Campo,PT,37.7167,-25.4333,22.23,87,82,2.83,broken clouds
193,Rio Gallegos,AR,-51.6226,-69.2181,3.03,87,100,7.2,overcast clouds
194,Faya,SA,18.3851,42.4509,18.06,72,6,1.84,clear sky
195,Acari,PE,-15.4311,-74.6158,16.76,81,37,2.17,scattered clouds
196,Port Hawkesbury,CA,45.6169,-61.3485,26.99,84,20,2.68,few clouds
197,Soe,ID,-9.8607,124.284,24.89,48,1,2.94,clear sky
198,Mnogovershinnyy,RU,53.9353,139.9242,16.53,93,100,2.98,overcast clouds
199,Hasaki,JP,35.7333,140.8333,32.38,79,4,8.34,clear sky
200,Fethiye,TR,36.6217,29.1164,23.93,84,0,0.59,clear sky
201,Russell,US,32.3502,-85.1999,25.6,88,20,0.0,few clouds
202,Lomza,PL,53.1781,22.0593,15.16,77,94,2.08,overcast clouds
203,Marevo,RU,57.3146,32.0804,11.04,75,93,1.45,overcast clouds
204,Canete,CL,-37.8,-73.4,6.95,95,97,1.2,overcast clouds
205,Half Moon Bay,US,37.4636,-122.4286,25.3,66,0,10.8,clear sky
206,Linxi,CN,39.7,118.4333,26.04,60,92,6.57,overcast clouds
207,The Valley,AI,18.217,-63.0578,27.92,78,100,9.22,overcast clouds
208,Port Macquarie,AU,-31.4333,152.9167,17.72,62,10,6.35,clear sky
209,Prince Rupert,CA,54.3161,-130.3201,16.05,76,75,6.69,broken clouds
210,Nalut,LY,30.3333,10.85,27.05,32,0,6.04,clear sky
211,Flin Flon,CA,54.7682,-101.865,20.77,64,27,4.04,scattered clouds
212,Digboi,IN,27.3833,95.6333,28.01,81,2,0.62,clear sky
213,Mayo,US,38.8876,-76.5119,30.09,87,0,4.12,clear sky
214,Kuopio,FI,62.8924,27.677,11.97,76,0,3.09,clear sky
215,Namibe,AO,-15.1961,12.1522,15.68,92,38,1.19,scattered clouds
216,Atar,MR,20.5169,-13.0499,34.69,34,10,3.25,clear sky
217,Tarko-Sale,RU,64.9225,77.785,18.21,76,79,3.93,broken clouds
218,Paragominas,BR,-2.9667,-47.4833,22.84,83,0,1.26,clear sky
219,Katsuura,JP,35.1333,140.3,28.89,78,3,7.83,clear sky
220,Kavieng,PG,-2.5744,150.7967,28.59,72,22,5.73,few clouds
221,Itarema,BR,-2.9248,-39.9167,25.5,83,7,7.19,clear sky
222,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,11.75,83,0,2.48,clear sky
223,Botwood,CA,49.1499,-55.3482,22.72,86,59,5.61,broken clouds
224,Neral,IN,19.0333,73.3167,24.79,96,100,1.87,overcast clouds
225,Twentynine Palms,US,34.1356,-116.0542,37.3,28,100,2.24,overcast clouds
226,Rundu,NA,-17.9333,19.7667,14.53,36,0,1.91,clear sky
227,Kaitangata,NZ,-46.2817,169.8464,6.4,53,31,5.98,scattered clouds
228,Bairiki,KI,1.3292,172.9752,30.0,70,40,4.63,scattered clouds
229,Limbang,MY,4.75,115.0,28.06,63,99,0.79,overcast clouds
230,Tuatapere,NZ,-46.1333,167.6833,5.63,66,10,5.7,clear sky
231,Muroto,JP,33.2833,134.15,28.93,76,4,2.98,clear sky
232,Baicheng,CN,45.6167,122.8167,21.77,47,0,6.51,clear sky
233,Sisimiut,GL,66.9395,-53.6735,4.16,96,100,1.83,overcast clouds
234,Rosetta,EG,31.4044,30.4164,25.69,75,0,2.1,clear sky
235,Nishihara,JP,26.1842,127.7558,31.81,75,40,4.12,scattered clouds
236,Santa Rosa,PH,14.3122,121.1114,25.99,92,100,0.66,moderate rain
237,Candelaria,PH,13.9311,121.4233,25.22,94,100,0.77,light rain
238,Cayenne,GF,4.9333,-52.3333,28.38,13,0,1.54,clear sky
239,Torbay,CA,47.6666,-52.7314,20.77,88,75,7.2,broken clouds
240,Amarante Do Maranhao,BR,-5.5667,-46.7422,24.42,44,0,1.13,clear sky
241,Saskylakh,RU,71.9167,114.0833,11.08,60,100,4.84,overcast clouds
242,Kailua,US,21.4022,-157.7394,31.99,69,75,5.14,broken clouds
243,Lambari,BR,-21.9756,-45.3503,18.45,60,72,1.54,broken clouds
244,Bathsheba,BB,13.2167,-59.5167,28.34,96,40,5.14,scattered clouds
245,Hambantota,LK,6.1241,81.1185,25.19,100,20,5.14,few clouds
246,Payo,ID,-3.7508,103.6372,25.24,73,77,0.76,broken clouds
247,Aviemore,GB,57.1955,-3.8259,13.64,90,98,2.7,overcast clouds
248,Taksimo,RU,56.3444,114.8794,14.49,58,44,1.93,scattered clouds
249,Ubinskoye,RU,55.3068,79.6802,14.52,90,100,4.04,overcast clouds
250,Hokitika,NZ,-42.7167,170.9667,8.53,55,100,5.83,overcast clouds
251,Pirovskoye,RU,57.6267,92.2658,17.07,72,55,1.1,broken clouds
252,Bugama,NG,4.7341,6.8635,24.19,90,100,2.6,light rain
253,Hastings,GB,50.8552,0.5729,16.96,81,11,2.57,few clouds
254,Matara,LK,5.9485,80.5353,24.7,89,85,4.97,overcast clouds
255,Cidreira,BR,-30.1811,-50.2056,14.91,93,100,5.21,overcast clouds
256,Vila,PT,42.0304,-8.1588,15.94,85,3,1.1,clear sky
257,Escarcega,MX,18.6089,-90.7454,20.83,99,100,1.04,overcast clouds
258,Aasiaat,GL,68.7098,-52.8699,3.49,97,100,2.94,overcast clouds
259,Road Town,VG,18.4167,-64.6167,28.05,89,40,5.14,scattered clouds
260,Tiarei,PF,-17.5333,-149.3333,27.01,74,60,10.79,broken clouds
261,Salalah,OM,17.0151,54.0924,24.05,100,100,3.09,light intensity drizzle
262,Coihaique,CL,-45.5752,-72.0662,2.97,81,100,1.54,overcast clouds
263,Ilulissat,GL,69.2167,-51.1,6.01,93,100,1.03,overcast clouds
264,Quatre Cocos,MU,-20.2078,57.7625,18.94,79,15,3.06,few clouds
265,Pedernales,DO,18.0384,-71.744,28.45,71,18,1.86,few clouds
266,Cedar City,US,37.6775,-113.0619,30.54,15,0,5.14,clear sky
267,Nogliki,RU,51.8333,143.1667,13.02,99,100,6.89,overcast clouds
268,Hope,US,33.6671,-93.5916,34.03,54,100,2.27,overcast clouds
269,Kyshtovka,RU,56.555,76.6271,14.07,86,25,3.75,scattered clouds
270,Portland,US,45.5234,-122.6762,38.49,23,20,3.6,few clouds
271,Carahue,CL,-38.7,-73.1667,5.52,98,100,0.33,overcast clouds
272,Pevek,RU,69.7008,170.3133,0.42,89,100,7.03,overcast clouds
273,Verkhnyaya Inta,RU,65.9811,60.3094,19.91,64,0,4.71,clear sky
274,Makhachkala,RU,42.9764,47.5024,25.99,57,100,3.42,overcast clouds
275,Chicama,PE,-7.8447,-79.1469,15.3,84,50,3.39,scattered clouds
276,Mombasa,KE,-4.0547,39.6636,21.85,81,74,5.41,broken clouds
277,Enid,US,36.3956,-97.8784,35.09,40,0,4.63,clear sky
278,Adrar,MR,20.5022,-10.0711,36.24,26,65,5.43,broken clouds
279,La Seyne-Sur-Mer,FR,43.0982,5.8847,26.05,67,0,1.85,clear sky
280,Smithers,CA,54.7804,-127.1743,24.18,29,40,3.09,scattered clouds
281,Turukhansk,RU,65.8167,87.9833,15.39,69,100,2.04,overcast clouds
282,Totoro,CO,2.512,-76.4012,9.57,95,16,2.21,few clouds
283,Pacific Grove,US,36.6177,-121.9166,26.25,74,0,4.63,clear sky
284,Comodoro Rivadavia,AR,-45.8667,-67.5,3.92,93,100,3.6,light intensity drizzle rain
285,Am Timan,TD,11.0297,20.2827,21.46,94,100,1.81,overcast clouds
286,Sao Joao Da Barra,BR,-21.6403,-41.0511,22.2,91,62,2.47,broken clouds
287,Ust-Kulom,RU,61.6864,53.6902,17.73,78,90,2.15,overcast clouds
288,Tigil,RU,57.8,158.6667,22.1,39,30,1.32,scattered clouds
289,Slave Lake,CA,55.2834,-114.769,23.99,53,0,4.12,clear sky
290,Yatou,CN,37.15,122.3833,28.66,86,100,2.85,moderate rain
291,Tumbagaan,PH,5.3656,120.3139,27.4,75,100,2.12,overcast clouds
292,Nanchang,CN,28.6833,115.8833,30.56,59,77,2.95,broken clouds
293,Krasnoselkup,RU,65.7,82.4667,16.72,76,100,4.59,overcast clouds
294,Lensk,RU,60.7253,114.9278,12.32,80,100,0.72,overcast clouds
295,Benevento,IT,41.2179,14.7464,22.64,70,15,1.6,few clouds
296,Skibbereen,IE,51.55,-9.2667,12.84,87,0,1.91,clear sky
297,San Patricio,US,28.017,-97.5169,30.97,61,96,6.39,overcast clouds
298,Kalmunai,LK,7.4167,81.8167,24.99,74,100,3.33,overcast clouds
299,Matay,EG,28.419,30.7792,28.09,38,2,4.43,clear sky
300,Rafai,CF,4.95,23.9167,19.97,99,100,0.79,overcast clouds
301,Nouadhibou,MR,20.931,-17.0347,22.99,88,3,4.63,clear sky
302,Pervomayskoye,RU,43.919,46.7102,23.8,69,100,1.49,overcast clouds
303,Banda Aceh,ID,5.5577,95.3222,27.02,70,99,4.88,overcast clouds
304,Praia Da Vitoria,PT,38.7333,-27.0667,22.64,100,20,3.66,few clouds
305,Puri,IN,19.8,85.85,27.29,79,60,3.51,broken clouds
306,Belaya Gora,RU,68.5333,146.4167,18.89,40,32,6.22,scattered clouds
307,Tirumullaivasal,IN,11.2333,79.8333,27.32,66,100,8.19,light rain
308,Lorengau,PG,-2.0226,147.2712,29.15,71,91,3.54,overcast clouds
309,Erie,US,42.7667,-78.6664,26.68,81,100,0.89,overcast clouds
310,Ostrovnoy,RU,68.0531,39.5131,11.22,76,89,5.29,overcast clouds
311,Roma,US,43.2128,-75.4557,27.15,85,0,1.54,clear sky
312,Sinnar,SD,13.5691,33.5672,24.14,79,93,2.96,overcast clouds
313,Moroni,KM,-11.7022,43.2551,22.56,76,5,3.63,clear sky
314,Bontang,ID,0.1333,117.5,25.97,76,96,2.6,overcast clouds
315,Ciudad Bolivar,VE,8.1222,-63.5497,27.39,75,83,2.85,broken clouds
316,Saalfeld,DE,50.65,11.3667,16.62,61,54,0.42,broken clouds
317,Araouane,ML,18.9048,-3.5265,36.4,18,15,3.91,few clouds
318,Bereda,ES,43.2686,-7.5406,17.54,100,26,3.12,scattered clouds
319,Sembakung,ID,3.8167,117.25,27.81,71,28,0.69,scattered clouds
320,Taltal,CL,-25.4,-70.4833,16.42,56,2,2.45,clear sky
321,Lar,IN,26.2039,83.9717,29.6,72,0,3.7,clear sky
322,Port Hardy,CA,50.6996,-127.4199,21.1,68,20,8.75,fog
323,Vysokogornyy,RU,50.1167,139.15,17.67,99,100,1.67,overcast clouds
324,Jiayuguan,CN,39.8167,98.3,22.58,42,78,2.08,broken clouds
325,Miles City,US,46.4083,-105.8406,28.54,28,0,2.57,clear sky
326,San Rafael Del Sur,NI,11.8485,-86.4384,23.54,85,100,5.3,light rain
327,Vadso,NO,70.0744,29.7487,9.49,87,40,6.69,scattered clouds
328,Inirida,CO,3.8653,-67.9239,24.01,90,21,1.34,few clouds
329,Tra Vinh,VN,9.9347,106.3453,25.32,89,100,2.89,light rain
330,Te Anau,NZ,-45.4167,167.7167,3.23,81,38,2.91,scattered clouds
331,Porto Seguro,BR,-16.4497,-39.0647,21.29,83,0,2.57,clear sky
332,Leh,IN,34.1667,77.5833,17.41,59,94,2.03,overcast clouds
333,Cockburn Town,TC,21.4612,-71.1419,27.75,87,100,9.46,overcast clouds
334,Ancud,CL,-41.8697,-73.8203,6.24,84,6,1.45,clear sky
335,Menongue,AO,-14.6585,17.691,11.46,40,0,2.19,clear sky
336,San Francisco,US,37.7749,-122.4194,25.93,72,0,10.8,clear sky
337,Kimbe,PG,-5.5502,150.1429,32.49,51,15,1.9,few clouds
338,Alofi,NU,-19.0595,-169.9187,26.94,74,1,6.17,clear sky
339,Cap-Haitien,HT,19.7578,-72.2042,27.73,85,100,7.89,overcast clouds
340,Keti Bandar,PK,24.1447,67.4497,27.71,90,100,5.41,overcast clouds
341,Iralaya,HN,15.0,-83.2333,26.68,87,100,5.2,overcast clouds
342,Merauke,ID,-8.4667,140.3333,27.68,74,24,5.76,few clouds
343,Lillooet,CA,50.6856,-121.942,33.95,19,0,2.61,clear sky
344,Isangel,VU,-19.55,169.2667,28.06,78,75,2.06,broken clouds
345,Mae Sai,TH,20.4335,99.8762,22.73,100,100,0.45,overcast clouds
346,Riviera Beach,US,26.7753,-80.0581,28.34,83,75,6.69,broken clouds
347,Belturbet,IE,54.1,-7.45,10.23,97,56,0.72,broken clouds
348,Gobardanga,IN,22.8747,88.7586,27.95,88,100,4.66,overcast clouds
349,Lodwar,KE,3.1191,35.5973,26.26,51,100,5.24,overcast clouds
